name,url,credit,links_work,updated,best
Kanye West,12nGHPPh5dVTfLuBLVQYzC3QgPxKfvp-jgCoNccvEasM,"Nicole, Hauska",1,1,true
Playboi Carti,1Irtfvymu26CShYowLMMfD-rM0o9CJqE6-BBSlYsAaF4,"RunAw, Homebrewed, justamz, Marin, Brimcoole, Yash, griha5438, xscapee, prodrunic, Balint, avi, Squiddy, fitz, xcxxE, ColbyJackChedda, YLS-Dev, antshortnose, heroinfather, longtimecarti, pluggcarti, moze, Kenanneo, fbg_1758_atljacob, Froste, sum, Jodanlol, Jazz, Gabe, slothsavedearth, dankuul",1,1,true
Lil Uzi Vert,1zqqdIds1iwnx4lh29iF1IlraeuqfGhxH9qLNlWOnryo,"dragonplagues, acservices, Marin, Froste, heroinfather, moze, athrilu, clapper",1,1,false
Kendrick Lamar,1i4OQglDHiiqMDthqfUFPutGmpZzK7n63LaoWApqhQXI,"Infisrael, aeolowl, hunnnter, sixsensenella, osunn, dollnora",1,1,false
Drake,1v55XAPLzw1iuWxH1OQKajCIYPhW2BXcLoV4mXDZ55DI,"slothsavedearth, takaTyphoon, Luna, FinalxNinja, PhilMcG, Franki8000, raglord, Soulsby, futurefan41, frezling, graceisfriend, Brimcoole",1,1,false
Frank Ocean,franktracker.net,"Infishere, Edideaur",1,1,true
A$AP Rocky,1rbt_VyQyHEfVRv_XmVBNrwMyF0uMx7FF-1T8-N0wf0E,"KILLRITE, geroerg, Digital Hendryk",1,1,true
OsamaSon,1qbJpawdwnw7IUkZ4FfU3oOF17griNjL59X5z6YFiFlY,"fly, slemns, stashmuzik, emo yn, gamb, mesquitee, life222fast",1,1,false
Ken Carson,1OARID98xCqRaBr8gyQCvI3aD4jKQDGgtedyRaiP_pyo,"raiden_xdd, truboat, ballzach, deka",1,1,true
Travis Scott,1gJqbQrb3dIWF-PLMsKkNUrftpQb8zxsZFDAIpSvT5Fo,lxns,1,1,true
Destroy Lonely,1J16EyxHqZD4m0VZ6g6SoY_1GC21TU7P2kk9FeteSKvE,"raiden_xdd, quixotic, privatebuys, fly, exodvs, alldamnday, truboat, dosa, fitz, sway, ethereal, 101122 two, isawyou, y3, JS10, noresidence, nasca, pano",1,1,false
Juice WRLD,1tD3ytt5wPx4zfcefXi5ATeYhIiDaugWjMS46nZrP568,"deka, will, Slemns, exodvs, Infisrael",1,1,false
Yeat,1FUzAZyTCgFTVxQ--qbCAS2bUk4dsAw6ASxwjURPHbyI,"raglord, red, shock",1,1,false
Playboi Carti [Alt],1ivoRJskby8zykhH_szifY4a1HIQCTnVh6c2WfIfMbkM,"Playboi Balint (@bal5), realgangshit, didcartidroptoday, 17thirty, Aztek Silver, Joyabuy Ceo, a77, NoResidence, APOLLO (@/apollo_xll), Grumpy Cat, DukeSlayer64",1,1,false
Ariana Grande,1ah5NXTYC67nVwBiiDnr_96tIb0eBzA1sFutewdpInPQ,tltpoe & areuthereeeforme,1,1,false
Young Thug,12zc2reK5y8XP6SQhv1ujQtiG9VpJy7yDWwDuE-S-wpc,"raglord, againstscammers, sloth, shadow1235, moist, ricky, monki, Masaki Mirusaki",1,1,true
Che,12xUUfE7amSKb7S3dNc4AHbRdViOdRU_KwSkASOANqv0,"slemns, greifed, zkxg, wakeuptheo, aforeverthing",1,1,false
Eminem,1x9tTOOqH5WpKOoptdQzABSN_x8oZbMgzIGlGH9w1IKA,"JAYDAHEATER!, GrimR3xx, Emball, John Banana, Days Dissolve, G-Man Junior, Panda, Kaisersaurus, Franki8000, HighSpeedChase",1,1,true
Don Toliver,1qsO4SuzzB17d5orqbKWHsaQsRdk0lzTSF9rV2FwQf-Q,"Brimcoole, garfiiieeelld, Marin, NotDonToliver, Roses, Ricky, Yosh",1,1,true
Charli XCX,1klHB69Kd9T22WhzhydwhhLelFth6r55D7KcpiLARePo,"areuthereeeforme, lukinhas, 555xjp",1,1,false
Future,1OGAthACjwPcq3vHIVTAoaT8blFXjyBLtVcP0m5u80-U,"yuruze, fourth.dimension, waytoomuchcash, ayq0, choppapillow, millsmax",1,1,false
Michael Jackson,1i59TKrIZ1OvFFPJFuOMw1VXlvyzaVOH0Wb0vVJp9BTw,coolwaves#3840,1,0,false
Trippie Redd,1hZdGFBZmukWGH4IlnH0NJvphwEct2XEMJT_moTFhTvc,"raiden, snakeyyy",1,1,true
Billie Eilish,1xwS_bEbYRSy1aVs0qE92BMMlXjAipP1pDekP5VPHz-g,andrelamoglia,1,1,false
Nettspend,1on69bzqAR5WpR2ZuGGbGoMtltq5yCeXaCK4CJ2KkHcM,"woke, fly, taylor, peep, emo yn",1,1,false
XXXTENTACION,1wKq7lSERmXYutRFxipNbFFc-DUdqhVXWWlFnqkzwRFA,"Zanthin, fart, goon, Mockingbird, justasoul, Bountry, Vlone, hcaor",1,1,true
The Weeknd,1luU-KL_vKt72goUpSO2F0qMvXyqaT_q8VwYNjPeLgTg,"KrackerZ, Dr Wolf, shri, raymeta12, hannahandevelyn, jae, DxG51, indeed, FADED",1,1,false
Baby Keem,1_SNZQS-AAXVleukgKlraegaozkLOu8WMHbUwmPm61hc,"Reardon, Infisrael, Techno, DaysDissolve, Jeen, aeolowl, Jake Gylenhaal, idk what to put here",1,1,false
Nine Vicious,16JZhKfPIpxjmGvvmgE8fV8H5LWLMFFvV5yvy6UZJccI,"6, revenge, nev, tumblrmusic, fly, emo yn, wun",1,1,false
Mac Miller,17TycQCSpIm-6DyWId4ve8fVaM7Ewg3lgV1DDNRwauh0,"inertia, wanders, ScalderM, manick",2,1,false
d4vd,1N6_EyCC6AM_cpFkIJivCN0kWzEwJRev7vQCmFAChnjk,"makingfriendsiseasy, feelnoway",1,1,false
Sabrina Carpenter,1XDdYqcxbozqNE-2Dh8HlQt4KsUiFLdo2NrAzelweFKs,@Milk12,1,1,false
PinkPantheress,1Z_c3abjaM10CjGaJ5yjDqaEWB8YnDVuDaAJCp0EJBu8,"lovebombzz, alex, goldwings, skaura2, JJ, Marx, dql",1,1,false
"Tyler, The Creator",1GObjrl5iR_RXDGnqjI35Mf_WpkdA9NR3UuzObKCHCLE,"ColbyJackChedda, thainglorious, Marin, Zulsk, Akuma, Uncles Make Freaks, y7, BrokenStone, royalty",1,1,true
Playboi Carti Fit Pics,1eTG3yX43hEuuWOpZzM_2WF0RYqXJhKsBUP2z2wCHy94,xscapee,1,0,false
J. Cole,1hjMtB-acUEpXYkR6TWQVeVoUzSLrAVIdy1lMoM6aFFw,"Mr. Chedda, slothsavedearth, a_native_person",1,1,false
Childish Gambino,1eyBjj7qPxIT_P93RaSPZf5hTJemGi5jMqSJF777OsdE,"shri, mouse man, Dr. Wolf, Buddy, p4, comptonrapper, Commandtechno, Plague Doctress, slothsavedearth",1,1,false
LUCKI,1zoRNpy7Lvr-JzPqtQLLWRVVDbgKygpBaDf4cC-Lt6k4,Zedroz,1,1,true
Pharrell Williams,1guNCg4c5AOuKjNJcxM14wPrU5xgqv7GBXHv1_nDeyss,"slothsavedearth, FinalxNinja, Johnny Crimson, Mika",1,1,true
NBA Youngboy,1-eJxsD-YciRGsQ6367NQ8zKdVJKEq8pirJPcwncgSwg,@manwithaplan2,1,1,false
Gunna,1P_BA-CIy05lDl9j1H06awxNqvXYJcD-KeBPVdgTO7Eo,"raglord, fishybusiness, CST",1,1,false
Aristotle Benoit,1GhcILfh7Hi0fiCbUN3kVucrzHFBquTlwBIMgeRIBMok,"rentherunner, june",1,1,false
Ty Dolla $ign,11Kk3Mi8iiFmXEFV8vzcmTrnjcMkfgImABCavXhC4D48,x3mili,1,1,true
MF DOOM,1zEbzMVXFXzuY4wLdPvdQA23lb3RwCSOKqWtHsllXNk8,"@madvilliany, HeyImTy",1,1,false
TrackerHub,17FyMI6p-sWT7FRmwvdhaRPrJmHHFAHEcYLizXGZ9-ec,iaon,1,1,false
Lana Del Rey,1MA0iwwh187BGmd0rI70_IwrG3vopIkqMIgx7pU7nbmg,motelgrl,1,1,false
Melanie Martinez,1tgEB-L2zA5VCkLNyMueg73yZREUxJUMJ5GcrX9BvUns,James Joint,1,1,false
Chief Keef,1oDE9gTnEG7ufPQIOMjLTegfI47qtgNCxngmxxHZL4qA,"Swaggely, GloTheActivist, Glanesky, Rojas, ej, Cortez, 1017kev",1,1,false
Yuno Miles,1i0OISTGJvNe3vc6TKpO7vRtMJ2Re0y64eAwi1F5y26c,"random asian man, lukie, yungtron",1,0,false
Kanye West (yetracker.net),yetracker.net,crave,1,1,true
Taylor Swift [Alt],1hXksvQRYqhHMEnF4sK8R66NYR_H1qSnQeUyTTg_uj0Y,Rain51db & Animal Crackers,1,1,false
SoFaygo,1HISW5L6rWvEW-ZtHrUQRBbjwfOYTrTuzi5fgPkwtObQ,@joshkori,1,1,false
JPEGMAFIA,1IhfNqEOtwczA6JH52gv2feerMqlJEbaDV4bxaIr7gkI,"fmlu, yzygap, m3lt, ColbyJackChedda, kebabmf, Miser",2,0,false
Doja Cat,1_NwxP5mGGEj7stY0Dr_hI_Pb4m8LBIyt3Cb-OoTJPtc,"Tonixander, lookierapbitch, salcap1",1,1,true
BLACKPINK,1eDyaVS7_db9w--D3erORgXswXTtv9yD0K0BFxjVLEp4,notok,1,1,false
Dream,1zufNODk_zMyyYQdwM4RtKHVtfY8WplefbsRJ9__dQns,PurpleEyesMusic,1,0,false
